"geneID","PH6WC_XY335","PH4CVvsXY335","PH4CVvsPH6WC","RIL335"
"Zm00001d002917",0,0,0,1
"Zm00001d002919",0,0,0,1
"Zm00001d002928",0,0,0,1
"Zm00001d002929",0,0,0,1
"Zm00001d002933",0,0,0,1
"Zm00001d002934",0,1,0,1
"Zm00001d002937",0,0,0,1
"Zm00001d002938",1,1,0,1
"Zm00001d002944",0,1,0,0
"Zm00001d002951",1,0,0,0
"Zm00001d002954",0,0,0,1
"Zm00001d002958",0,0,0,1
"Zm00001d002961",0,0,0,1
"Zm00001d002966",0,0,0,1
"Zm00001d002972",1,0,1,1
"Zm00001d002974",0,1,0,0
"Zm00001d002980",0,1,0,0
"Zm00001d002991",0,0,1,1
"Zm00001d002999",0,0,0,1
"Zm00001d003006",0,0,0,1
"Zm00001d003009",0,0,0,1
"Zm00001d003015",0,1,0,0
"Zm00001d003016",0,0,0,1
"Zm00001d003021",0,0,0,1
"Zm00001d003024",0,1,1,0
"Zm00001d003025",1,0,1,0
"Zm00001d003031",1,0,0,0
"Zm00001d003033",1,1,1,0
"Zm00001d003034",0,1,0,0
"Zm00001d003037",0,0,1,0
"Zm00001d003038",0,0,0,1
"Zm00001d003041",0,1,1,0
"Zm00001d003048",1,0,1,0
"Zm00001d003051",1,0,1,0
"Zm00001d003052",0,0,0,1
"Zm00001d003064",1,0,1,1
"Zm00001d003070",0,0,0,1
"Zm00001d003071",1,1,1,0
"Zm00001d003085",0,0,1,1
"Zm00001d003086",0,1,1,0
"Zm00001d003088",0,0,1,0
"Zm00001d003089",0,0,0,1
"Zm00001d003099",0,0,0,1
"Zm00001d003102",1,0,0,1
"Zm00001d003103",0,1,0,0
"Zm00001d003107",1,0,0,1
"Zm00001d003108",1,1,0,0
"Zm00001d003109",0,0,0,1
"Zm00001d003112",0,0,1,1
"Zm00001d003119",0,0,0,1
"Zm00001d003124",1,1,1,0
"Zm00001d003127",1,0,1,0
"Zm00001d003139",0,1,0,0
"Zm00001d003141",0,0,0,1
"Zm00001d003148",1,1,1,0
"Zm00001d003151",1,1,0,0
"Zm00001d003153",0,0,0,1
"Zm00001d003155",0,0,0,1
"Zm00001d003157",1,0,0,0
"Zm00001d003159",0,1,0,0
"Zm00001d003160",0,0,0,1
"Zm00001d003161",0,0,0,1
"Zm00001d003164",0,0,0,1
"Zm00001d003166",0,0,0,1
"Zm00001d003174",0,0,0,1
"Zm00001d003176",1,1,0,0
"Zm00001d003183",0,0,0,1
"Zm00001d003186",0,0,0,1
"Zm00001d003187",0,0,0,1
"Zm00001d003191",0,0,0,1
"Zm00001d003197",1,0,1,0
"Zm00001d003198",1,1,1,0
"Zm00001d003200",1,0,1,0
"Zm00001d003203",1,0,0,0
"Zm00001d003205",0,1,1,0
"Zm00001d003209",0,1,1,0
"Zm00001d003212",1,1,1,0
"Zm00001d003213",0,0,0,1
"Zm00001d003214",0,1,1,0
"Zm00001d003220",1,1,0,0
"Zm00001d003229",0,0,0,1
"Zm00001d003247",0,0,0,1
"Zm00001d003248",1,0,0,0
"Zm00001d003249",0,1,0,0
"Zm00001d003250",1,1,0,0
"Zm00001d003251",0,0,0,1
"Zm00001d003252",1,1,1,0
"Zm00001d003254",0,1,1,0
"Zm00001d003257",0,0,0,1
"Zm00001d003265",0,1,0,0
"Zm00001d003266",1,0,1,0
"Zm00001d003267",1,0,1,0
"Zm00001d003268",0,1,0,0
"Zm00001d003271",0,1,0,0
"Zm00001d003272",0,1,1,0
"Zm00001d003273",0,0,0,1
"Zm00001d003275",1,1,0,0
"Zm00001d003276",0,0,0,1
"Zm00001d003277",1,0,1,0
"Zm00001d003279",1,0,1,1
"Zm00001d003280",0,0,0,1
"Zm00001d003283",1,0,1,0
"Zm00001d003284",0,0,0,1
"Zm00001d003287",0,0,0,1
"Zm00001d003288",0,1,0,0
"Zm00001d003292",0,1,0,0
"Zm00001d003294",0,1,1,0
"Zm00001d003301",0,0,1,0
"Zm00001d003302",0,0,0,1
"Zm00001d003306",0,1,1,0
"Zm00001d003314",1,0,0,0
"Zm00001d003329",1,0,0,0
"Zm00001d003345",0,1,0,0
"Zm00001d003352",0,1,0,0
"Zm00001d003354",0,1,1,0
"Zm00001d003355",0,0,0,1
"Zm00001d003356",1,0,1,0
"Zm00001d003358",0,1,1,0
"Zm00001d003364",0,0,1,0
"Zm00001d003365",0,0,0,1
"Zm00001d003368",0,0,0,1
"Zm00001d003369",0,0,0,1
"Zm00001d003372",1,0,0,0
"Zm00001d003376",0,0,0,1
"Zm00001d003379",0,0,0,1
"Zm00001d003381",0,0,0,1
"Zm00001d003398",0,1,0,0
"Zm00001d003400",1,1,0,0
"Zm00001d003401",1,1,1,0
"Zm00001d003404",1,0,1,1
"Zm00001d003406",1,0,1,1
"Zm00001d003414",0,0,0,1
"Zm00001d003415",0,0,0,1
"Zm00001d003418",0,0,0,1
"Zm00001d003422",1,0,1,0
"Zm00001d003425",0,0,0,1
"Zm00001d003426",0,0,0,1
"Zm00001d003427",0,1,0,0
"Zm00001d003430",0,0,0,1
"Zm00001d003434",0,1,0,0
"Zm00001d003438",0,1,0,0
"Zm00001d003446",1,0,1,1
"Zm00001d003452",1,1,1,1
"Zm00001d003468",0,1,0,0
"Zm00001d003472",0,0,1,0
"Zm00001d003477",0,1,0,0
"Zm00001d003483",0,0,0,1
"Zm00001d003492",0,0,0,1
"Zm00001d003494",0,0,0,1
"Zm00001d003499",0,0,0,1
"Zm00001d003504",0,1,1,0
"Zm00001d003508",1,0,1,1
"Zm00001d003515",0,1,0,0
"Zm00001d003518",0,0,0,1
"Zm00001d003524",0,1,1,1
"Zm00001d003531",0,0,0,1
"Zm00001d003533",0,1,0,1
"Zm00001d003543",0,0,0,1
"Zm00001d003552",1,0,0,0
"Zm00001d003554",0,0,0,1
"Zm00001d003559",0,1,0,0
"Zm00001d003569",0,0,1,0
"Zm00001d003575",1,0,1,0
"Zm00001d003584",0,0,0,1
"Zm00001d003588",0,1,1,0
"Zm00001d003589",0,1,0,1
"Zm00001d003603",1,0,1,1
"Zm00001d003605",0,0,0,1
"Zm00001d003607",0,0,0,1
"Zm00001d003611",0,0,0,1
"Zm00001d003614",0,1,0,0
"Zm00001d003617",1,0,0,1
"Zm00001d003618",1,0,0,0
"Zm00001d003631",0,0,0,1
"Zm00001d003639",0,0,1,0
"Zm00001d003644",0,0,1,0
"Zm00001d003653",0,0,0,1
"Zm00001d003664",1,0,0,1
"Zm00001d003666",0,0,1,1
"Zm00001d003667",0,0,0,1
"Zm00001d003670",0,0,0,1
"Zm00001d003672",0,1,0,0
"Zm00001d003675",0,0,0,1
"Zm00001d003679",0,0,0,1
"Zm00001d003680",0,1,0,0
"Zm00001d003683",0,1,0,0
"Zm00001d003693",0,0,0,1
"Zm00001d003710",0,0,0,1
"Zm00001d003719",0,0,0,1
"Zm00001d003729",1,1,0,1
"Zm00001d003742",0,1,0,0
"Zm00001d003750",0,0,0,1
"Zm00001d003751",0,0,0,1
"Zm00001d003757",0,0,1,0
"Zm00001d003767",0,1,0,0
"Zm00001d003774",0,0,0,1
"Zm00001d003777",0,0,0,1
"Zm00001d003784",1,0,1,0
"Zm00001d003785",0,1,1,1
"Zm00001d003791",0,0,0,1
"Zm00001d003796",1,0,1,0
"Zm00001d003799",1,0,1,0
"Zm00001d003817",0,1,0,0
"Zm00001d003833",1,0,0,0
"Zm00001d003839",0,1,0,0
"Zm00001d003846",1,0,0,0
"Zm00001d003847",1,0,0,1
"Zm00001d003851",1,0,0,0
"Zm00001d003855",1,0,0,0
"Zm00001d003857",0,1,0,1
"Zm00001d003861",1,1,1,0
"Zm00001d003864",0,0,0,1
"Zm00001d003866",0,0,1,1
"Zm00001d003877",1,1,0,1
"Zm00001d003878",0,0,0,1
"Zm00001d003884",0,0,0,1
"Zm00001d003888",0,1,0,0
"Zm00001d003903",1,1,0,1
"Zm00001d003911",0,0,0,1
"Zm00001d003912",0,0,1,0
"Zm00001d003917",0,0,0,1
"Zm00001d003922",1,0,0,0
"Zm00001d003923",0,1,0,1
"Zm00001d003924",1,0,0,1
"Zm00001d003929",0,0,0,1
"Zm00001d003938",0,0,0,1
"Zm00001d003941",0,0,0,1
"Zm00001d003945",0,1,1,1
"Zm00001d003949",1,0,0,0
"Zm00001d003950",1,0,1,0
"Zm00001d003958",0,1,0,0
"Zm00001d003969",0,1,1,0
"Zm00001d003983",0,0,0,1
"Zm00001d003984",1,1,0,1
"Zm00001d003986",1,1,0,0
"Zm00001d003990",0,1,0,1
"Zm00001d003996",0,0,0,1
